X,Y,Name
485,753,Saint-Brieuc
554,747,Saint-Brieuc
622,738,Saint-Brieuc
454,724,Saint-Brieuc
524,716,Saint-Brieuc
592,707,Saint-Brieuc
357,699,Saint-Brieuc
423,692,Saint-Brieuc
493,686,Saint-Brieuc
565,674,Saint-Brieuc
462,657,Saint-Brieuc
528,647,Saint-Brieuc
432,626,Saint-Brieuc
500,618,Saint-Brieuc
470,588,Saint-Brieuc
535,575,Saint-Brieuc
302,573,Saint-Brieuc
369,566,Saint-Brieuc
438,557,Saint-Brieuc
272,544,Saint-Brieuc
340,536,Saint-Brieuc
477,520,Saint-Brieuc
243,511,Saint-Brieuc
310,506,Saint-Brieuc
376,497,Saint-Brieuc
446,489,Saint-Brieuc
279,476,Saint-Brieuc
347,467,Saint-Brieuc
417,457,Saint-Brieuc
248,446,Saint-Brieuc
316,438,Saint-Brieuc
386,428,Saint-Brieuc
451,420,Saint-Brieuc
217,415,Saint-Brieuc
285,407,Saint-Brieuc
354,398,Saint-Brieuc
423,389,Saint-Brieuc
255,378,Saint-Brieuc
322,370,Saint-Brieuc
392,359,Saint-Brieuc
458,352,Saint-Brieuc
224,347,Saint-Brieuc
292,339,Saint-Brieuc
359,332,Saint-Brieuc
430,321,Saint-Brieuc
192,319,Saint-Brieuc
261,309,Saint-Brieuc
330,301,Saint-Brieuc
398,292,Saint-Brieuc
232,278,Saint-Brieuc
299,270,Saint-Brieuc
367,262,Saint-Brieuc
267,239,Saint-Brieuc
336,233,Saint-Brieuc
305,201,Saint-Brieuc
1049,806,Burbo Bank
972,687,Burbo Bank
1068,686,Burbo Bank
778,689,Burbo Bank
1157,688,Burbo Bank
875,687,Burbo Bank
684,687,Burbo Bank
549,686,Burbo Bank
1231,656,Burbo Bank
479,622,Burbo Bank
1088,608,Burbo Bank
664,595,Burbo Bank
1250,588,Burbo Bank
874,588,Burbo Bank
412,562,Burbo Bank
1215,556,Burbo Bank
1404,555,Burbo Bank
1306,552,Burbo Bank
1177,523,Burbo Bank
1362,520,Burbo Bank
1270,521,Burbo Bank
1457,521,Burbo Bank
756,507,Burbo Bank
980,505,Burbo Bank
344,499,Burbo Bank
1142,491,Burbo Bank
1234,488,Burbo Bank
1326,485,Burbo Bank
548,485,Burbo Bank
1419,482,Burbo Bank
1197,455,Burbo Bank
1106,455,Burbo Bank
1290,453,Burbo Bank
277,434,Burbo Bank
785,425,Burbo Bank
1162,423,Burbo Bank
1069,423,Burbo Bank
1254,420,Burbo Bank
948,411,Burbo Bank
367,411,Burbo Bank
638,406,Burbo Bank
1501,397,Burbo Bank
1033,388,Burbo Bank
1218,384,Burbo Bank
1125,384,Burbo Bank
211,376,Burbo Bank
1465,379,Burbo Bank
1183,358,Burbo Bank
1091,358,Burbo Bank
1327,347,Burbo Bank
1423,361,Burbo Bank
1376,352,Burbo Bank
362,326,Burbo Bank
467,326,Burbo Bank
765,325,Burbo Bank
659,324,Burbo Bank
856,325,Burbo Bank
157,325,Burbo Bank
968,324,Burbo Bank
271,325,Burbo Bank
1285,331,Burbo Bank
550,322,Burbo Bank
1145,320,Burbo Bank
1053,320,Burbo Bank
215,479,Burbo Bank
306,162,Burbo Bank
255,157,Burbo Bank
327,112,Burbo Bank
275,112,Burbo Bank
231,107,Burbo Bank
278,782,Fécamp
321,771,Fécamp
364,760,Fécamp
246,750,Fécamp
406,748,Fécamp
289,739,Fécamp
449,737,Fécamp
331,728,Fécamp
492,726,Fécamp
374,716,Fécamp
256,707,Fécamp
417,705,Fécamp
299,696,Fécamp
459,694,Fécamp
342,685,Fécamp
502,682,Fécamp
385,673,Fécamp
267,664,Fécamp
428,662,Fécamp
310,653,Fécamp
470,651,Fécamp
352,641,Fécamp
513,639,Fécamp
395,630,Fécamp
277,621,Fécamp
438,619,Fécamp
320,610,Fécamp
481,607,Fécamp
363,598,Fécamp
524,596,Fécamp
408,586,Fécamp
287,577,Fécamp
449,575,Fécamp
330,565,Fécamp
492,564,Fécamp
534,553,Fécamp
377,550,Fécamp
299,535,Fécamp
461,532,Fécamp
341,523,Fécamp
502,521,Fécamp
545,510,Fécamp
427,501,Fécamp
308,492,Fécamp
352,480,Fécamp
513,478,Fécamp
394,469,Fécamp
556,467,Fécamp
437,458,Fécamp
362,437,Fécamp
523,435,Fécamp
405,425,Fécamp
566,423,Fécamp
448,414,Fécamp
491,403,Fécamp
373,393,Fécamp
534,391,Fécamp
416,382,Fécamp
576,380,Fécamp
458,371,Fécamp
501,360,Fécamp
544,348,Fécamp
426,339,Fécamp
587,337,Fécamp
469,327,Fécamp
512,316,Fécamp
555,305,Fécamp
598,293,Fécamp
523,273,Fécamp
566,261,Fécamp
740,598,Kincardine
698,513,Kincardine
895,457,Kincardine
650,435,Kincardine
850,370,Kincardine
807,285,Kincardine
496,710,Fryslân
432,699,Fryslân
369,689,Fryslân
306,674,Fryslân
541,671,Fryslân
483,663,Fryslân
242,660,Fryslân
417,651,Fryslân
354,638,Fryslân
587,631,Fryslân
528,624,Fryslân
291,623,Fryslân
456,609,Fryslân
219,602,Fryslân
399,598,Fryslân
632,589,Fryslân
332,583,Fryslân
573,580,Fryslân
502,568,Fryslân
260,565,Fryslân
446,559,Fryslân
207,553,Fryslân
676,547,Fryslân
378,544,Fryslân
620,539,Fryslân
556,527,Fryslân
301,524,Fryslân
493,513,Fryslân
238,506,Fryslân
716,503,Fryslân
425,500,Fryslân
186,494,Fryslân
664,493,Fryslân
354,486,Fryslân
605,481,Fryslân
542,467,Fryslân
286,467,Fryslân
475,454,Fryslân
217,448,Fryslân
697,447,Fryslân
168,436,Fryslân
649,435,Fryslân
396,434,Fryslân
582,419,Fryslân
334,421,Fryslân
517,405,Fryslân
267,406,Fryslân
680,394,Fryslân
444,389,Fryslân
207,388,Fryslân
150,378,Fryslân
626,374,Fryslân
382,374,Fryslân
563,360,Fryslân
307,358,Fryslân
244,346,Fryslân
494,343,Fryslân
190,333,Fryslân
662,332,Fryslân
422,325,Fryslân
134,323,Fryslân
603,315,Fryslân
354,312,Fryslân
291,299,Fryslân
539,299,Fryslân
227,288,Fryslân
479,285,Fryslân
167,280,Fryslân
641,275,Fryslân
403,266,Fryslân
583,259,Fryslân
344,256,Fryslân
269,246,Fryslân
517,242,Fryslân
448,228,Fryslân
214,227,Fryslân
385,215,Fryslân
622,217,Fryslân
318,205,Fryslân
559,202,Fryslân
257,191,Fryslân
493,186,Fryslân
431,175,Fryslân
364,165,Fryslân
603,166,Fryslân
539,152,Fryslân
304,152,Fryslân
476,136,Fryslân
408,129,Fryslân
351,795,Dieppe - Le Tréport
320,763,Dieppe - Le Tréport
389,758,Dieppe - Le Tréport
283,732,Dieppe - Le Tréport
358,724,Dieppe - Le Tréport
427,722,Dieppe - Le Tréport
326,691,Dieppe - Le Tréport
396,689,Dieppe - Le Tréport
540,685,Dieppe - Le Tréport
365,655,Dieppe - Le Tréport
435,651,Dieppe - Le Tréport
505,648,Dieppe - Le Tréport
575,644,Dieppe - Le Tréport
402,618,Dieppe - Le Tréport
472,615,Dieppe - Le Tréport
544,612,Dieppe - Le Tréport
614,610,Dieppe - Le Tréport
371,584,Dieppe - Le Tréport
441,583,Dieppe - Le Tréport
581,575,Dieppe - Le Tréport
651,573,Dieppe - Le Tréport
340,552,Dieppe - Le Tréport
410,549,Dieppe - Le Tréport
621,539,Dieppe - Le Tréport
309,520,Dieppe - Le Tréport
524,515,Dieppe - Le Tréport
452,516,Dieppe - Le Tréport
378,515,Dieppe - Le Tréport
347,483,Dieppe - Le Tréport
417,479,Dieppe - Le Tréport
487,475,Dieppe - Le Tréport
557,472,Dieppe - Le Tréport
768,464,Dieppe - Le Tréport
385,446,Dieppe - Le Tréport
451,445,Dieppe - Le Tréport
525,441,Dieppe - Le Tréport
596,437,Dieppe - Le Tréport
737,429,Dieppe - Le Tréport
807,426,Dieppe - Le Tréport
424,408,Dieppe - Le Tréport
495,406,Dieppe - Le Tréport
565,402,Dieppe - Le Tréport
636,399,Dieppe - Le Tréport
775,391,Dieppe - Le Tréport
462,373,Dieppe - Le Tréport
533,370,Dieppe - Le Tréport
603,367,Dieppe - Le Tréport
673,361,Dieppe - Le Tréport
745,360,Dieppe - Le Tréport
501,336,Dieppe - Le Tréport
571,333,Dieppe - Le Tréport
642,332,Dieppe - Le Tréport
713,327,Dieppe - Le Tréport
540,302,Dieppe - Le Tréport
610,296,Dieppe - Le Tréport
682,294,Dieppe - Le Tréport
580,263,Dieppe - Le Tréport
650,259,Dieppe - Le Tréport
618,226,Dieppe - Le Tréport
555,571,Dogger Bank C
491,568,Dogger Bank C
426,567,Dogger Bank C
361,566,Dogger Bank C
295,565,Dogger Bank C
229,563,Dogger Bank C
160,555,Dogger Bank C
94,554,Dogger Bank C
53,522,Dogger Bank C
585,519,Dogger Bank C
501,517,Dogger Bank C
419,514,Dogger Bank C
336,511,Dogger Bank C
255,509,Dogger Bank C
174,506,Dogger Bank C
102,499,Dogger Bank C
536,465,Dogger Bank C
452,464,Dogger Bank C
370,461,Dogger Bank C
288,458,Dogger Bank C
50,458,Dogger Bank C
207,455,Dogger Bank C
125,453,Dogger Bank C
488,412,Dogger Bank C
404,410,Dogger Bank C
322,407,Dogger Bank C
159,402,Dogger Bank C
48,394,Dogger Bank C
217,379,Dogger Bank C
440,358,Dogger Bank C
356,356,Dogger Bank C
274,354,Dogger Bank C
110,348,Dogger Bank C
45,330,Dogger Bank C
168,324,Dogger Bank C
307,303,Dogger Bank C
226,300,Dogger Bank C
120,271,Dogger Bank C
43,266,Dogger Bank C
260,249,Dogger Bank C
178,247,Dogger Bank C
40,201,Dogger Bank C
212,171,Dogger Bank C
